DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-08-21,France,Ligue 1,LEAGUE,2022/2023,Strasbourg,Reims,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,11,2,9,64,5,12,1,0,14,7,7,36,4,16,4,0
2022-08-21,France,Ligue 1,LEAGUE,2022/2023,Lille,Paris Saint Germain,A,1,7,A,0,4,N/A,N/A,N/A,N/A,N/A,N/A,16,8,8,48,2,13,2,0,17,10,7,52,4,8,1,0
2022-08-26,France,Ligue 1,LEAGUE,2022/2023,Ajaccio,Lille,A,1,3,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,4,1,3,42,6,13,3,0,6,4,2,58,0,13,2,0
2022-08-27,France,Ligue 1,LEAGUE,2022/2023,Lens,Rennes,H,2,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,18,4,14,51,7,15,0,0,12,6,6,49,2,13,1,0
2022-08-27,France,Ligue 1,LEAGUE,2022/2023,Auxerre,Strasbourg,H,1,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,7,3,4,42,2,4,0,0,14,4,10,58,5,6,1,0
2022-08-28,France,Ligue 1,LEAGUE,2022/2023,Nantes,Toulouse,H,3,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,17,9,8,50,4,11,0,0,8,1,7,50,5,9,3,0
2022-08-28,France,Ligue 1,LEAGUE,2022/2023,Troyes,Angers SCO,H,3,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,27,13,14,49,8,8,2,0,7,2,5,51,3,12,3,1
2022-08-28,France,Ligue 1,LEAGUE,2022/2023,Brest,Montpellier,A,0,7,A,0,5,N/A,N/A,N/A,N/A,N/A,N/A,8,1,7,52,5,15,0,1,13,8,5,48,4,16,2,0
2022-08-28,France,Ligue 1,LEAGUE,2022/2023,Reims,Olympique Lyonnais,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,8,5,3,26,2,12,1,1,18,5,13,74,7,12,1,0
2022-08-28,France,Ligue 1,LEAGUE,2022/2023,Nice,Olympique Marseille,A,0,3,A,0,3,N/A,N/A,N/A,N/A,N/A,N/A,17,2,15,49,7,7,1,0,12,3,9,51,5,15,1,0
2022-08-28,France,Ligue 1,LEAGUE,2022/2023,Paris Saint Germain,Monaco,D,1,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,18,5,13,67,4,12,4,0,4,3,1,33,3,15,4,0
2022-08-28,France,Ligue 1,LEAGUE,2022/2023,Lorient,Clermont,H,2,1,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,21,10,11,39,3,12,1,0,9,2,7,61,4,9,3,1
2022-08-31,France,Ligue 1,LEAGUE,2022/2023,Olympique Marseille,Clermont,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,21,8,13,60,7,16,2,0,3,0,3,40,1,12,2,0
2022-08-31,France,Ligue 1,LEAGUE,2022/2023,Angers SCO,Reims,A,2,4,A,0,2,N/A,N/A,N/A,N/A,N/A,N/A,10,4,6,59,4,9,1,0,11,5,6,41,3,15,6,1
2022-08-31,France,Ligue 1,LEAGUE,2022/2023,Lens,Lorient,H,5,2,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,16,8,8,58,4,10,1,0,11,4,7,42,5,6,3,0
2022-08-31,France,Ligue 1,LEAGUE,2022/2023,Monaco,Troyes,A,2,4,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,8,6,2,52,8,13,3,1,19,11,8,48,6,11,1,0
2022-08-31,France,Ligue 1,LEAGUE,2022/2023,Montpellier,Ajaccio,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,11,4,7,38,3,9,2,1,15,1,14,62,8,17,4,1
2022-08-31,France,Ligue 1,LEAGUE,2022/2023,Lille,Nice,A,1,2,A,1,2,N/A,N/A,N/A,N/A,N/A,N/A,19,6,13,63,6,15,1,0,3,2,1,37,3,21,4,0
2022-08-31,France,Ligue 1,LEAGUE,2022/2023,Strasbourg,Nantes,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,7,3,4,46,3,13,0,0,12,4,8,54,6,18,3,0
2022-08-31,France,Ligue 1,LEAGUE,2022/2023,Olympique Lyonnais,Auxerre,H,2,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,21,7,14,62,9,13,0,0,6,2,4,38,3,13,2,0
2022-08-31,France,Ligue 1,LEAGUE,2022/2023,Rennes,Brest,H,3,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,18,8,10,65,7,11,2,0,7,2,5,35,3,6,0,0
2022-08-31,France,Ligue 1,LEAGUE,2022/2023,Toulouse,Paris Saint Germain,A,0,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,15,7,8,38,3,10,1,0,21,13,8,62,9,7,0,0
2022-09-03,France,Ligue 1,LEAGUE,2022/2023,Nantes,Paris Saint Germain,A,0,3,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,9,1,8,41,1,6,1,1,20,4,16,59,7,12,4,0
2022-09-03,France,Ligue 1,LEAGUE,2022/2023,Auxerre,Olympique Marseille,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,10,3,7,47,4,8,1,0,15,7,8,53,1,14,1,0
2022-09-03,France,Ligue 1,LEAGUE,2022/2023,Olympique Lyonnais,Angers SCO,H,5,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,23,15,8,64,13,5,2,0,8,2,6,36,3,9,1,0
2022-09-04,France,Ligue 1,LEAGUE,2022/2023,Reims,Lens,D,1,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,17,4,13,36,4,9,2,0,18,3,15,64,4,11,2,1
2022-09-04,France,Ligue 1,LEAGUE,2022/2023,Troyes,Rennes,D,1,1,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,8,1,7,29,3,13,2,1,19,6,13,71,5,22,2,0
2022-09-04,France,Ligue 1,LEAGUE,2022/2023,Brest,Strasbourg,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,12,2,10,59,7,15,3,0,11,4,7,41,3,9,1,1
2022-09-04,France,Ligue 1,LEAGUE,2022/2023,Montpellier,Lille,A,1,3,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,5,2,3,24,1,8,0,1,26,5,21,76,9,11,4,0
2022-09-04,France,Ligue 1,LEAGUE,2022/2023,Nice,Monaco,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,12,5,7,53,3,10,2,0,13,3,10,47,6,12,1,0
2022-09-04,France,Ligue 1,LEAGUE,2022/2023,Ajaccio,Lorient,A,0,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,17,3,14,58,3,16,4,0,8,4,4,42,3,12,1,0
