DATE,COUNTRY,LEAGUE,TYPE,SEASON,HOME_TEAM,AWAY_TEAM,FTR,FTHG,FTAG,HTR,HTHG,HTAG,ETR,ETHG,ETAG,PENR,PENHG,PENAG,H_ST,H_SOG,H_SFG,H_PT,H_COR,H_FL,H_YC,H_RC,A_ST,A_SOG,A_SFG,A_PT,A_COR,A_FL,A_YC,A_RC
2022-10-23,Germany,Bundesliga,LEAGUE,2022/2023,Hertha BSC,Schalke 04,H,2,1,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,11,3,8,55,5,14,5,0,13,4,9,45,6,13,1,0
2022-10-28,Germany,Bundesliga,LEAGUE,2022/2023,Werder Bremen,Hertha BSC,H,1,0,D,0,0,N/A,N/A,N/A,N/A,N/A,N/A,16,4,12,53,4,14,2,0,10,1,9,47,5,11,3,0
2022-10-29,Germany,Bundesliga,LEAGUE,2022/2023,Eintracht Frankfurt,Borussia Dortmund,A,1,2,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,19,6,13,59,4,15,5,0,7,2,5,41,3,11,5,0
2022-10-29,Germany,Bundesliga,LEAGUE,2022/2023,VfB Stuttgart,FC Augsburg,H,2,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,29,6,23,63,10,7,1,0,13,4,9,37,3,12,2,0
2022-10-29,Germany,Bundesliga,LEAGUE,2022/2023,FC Bayern München,FSV Mainz 05,H,6,2,H,3,1,N/A,N/A,N/A,N/A,N/A,N/A,23,11,12,70,8,10,1,0,14,5,9,30,5,11,1,0
2022-10-29,Germany,Bundesliga,LEAGUE,2022/2023,RB Leipzig,Bayer 04 Leverkusen,H,2,0,H,1,0,N/A,N/A,N/A,N/A,N/A,N/A,7,6,1,46,3,9,3,0,3,1,2,54,3,7,3,0
2022-10-29,Germany,Bundesliga,LEAGUE,2022/2023,VfL Wolfsburg,VfL Bochum 1848,H,4,0,H,2,0,N/A,N/A,N/A,N/A,N/A,N/A,20,6,14,52,7,8,1,0,10,2,8,48,2,17,1,0
2022-10-30,Germany,Bundesliga,LEAGUE,2022/2023,FC Union Berlin,Borussia Mönchengladbach,H,2,1,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,18,7,11,55,6,17,3,0,6,3,3,45,5,6,2,0
2022-10-30,Germany,Bundesliga,LEAGUE,2022/2023,Schalke 04,SC Freiburg,A,0,2,A,0,1,N/A,N/A,N/A,N/A,N/A,N/A,12,3,9,45,4,20,3,0,20,8,12,55,8,7,2,0
2022-10-30,Germany,Bundesliga,LEAGUE,2022/2023,FC Köln,TSG Hoffenheim,D,1,1,D,1,1,N/A,N/A,N/A,N/A,N/A,N/A,12,4,8,35,5,11,1,0,6,1,5,65,4,10,2,1
2022-11-04,Germany,Bundesliga,LEAGUE,2022/2023,Borussia Mönchengladbach,VfB Stuttgart,H,3,1,H,2,1,N/A,N/A,N/A,N/A,N/A,N/A,12,5,7,55,3,13,2,0,15,4,11,45,5,16,1,0
